ano,regiao,sigla_uf,unidade_geografica,localizacao,dependencia,CO_ENTIDADE,IN_ENERGIA_REDE_PUBLICA,IN_AGUA_POTAVEL,IN_COMPUTADOR
2024,Norte,RO,Rondônia,Urbana,Estadual,11049855,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11048247,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11023678,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11024437,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11009888,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11004428,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11039582,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11042028,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11045914,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11030372,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11030003,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11010290,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11004347,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11076801,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11005041,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11046953,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11048808,0,1,0
2024,Norte,RO,Rondônia,Urbana,Estadual,11030666,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11033274,1,1,0
2024,Norte,RO,Rondônia,Rural,Estadual,11033320,1,1,0
2024,Norte,RO,Rondônia,Rural,Estadual,11095806,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11106859,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11009152,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11019140,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11019115,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11005360,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11031298,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11019948,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11040769,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11010665,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11017120,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11031689,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11049065,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11035080,1,1,1
2024,Norte,RO,Rondônia,Rural,Estadual,11031913,1,1,1
